Contour value = 0.99
301989888 = number of vibrational basis functions from initial-state totally symemtric irreducible
19327352832 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -33.05596       20.30350          1              0.30799
   2      -18.11948       17.77595          1              0.02939
   3      -29.18764        3.64251          2              1.13629
   4      -18.85243       10.37312          1              0.28941
   5       -5.54927       22.16692          1              0.80099
   6      -11.24995       11.56676          1              0.01051
   7      -11.43150       10.62537          1              0.03512
   8      -11.69436        9.76950          1              0.08512
   9      -10.28375        9.96519          0             -0.00057
  10       -9.38647       10.76185          1              0.07775
  11      -18.60334        0.05076          2              1.36954
  12       -9.71107        8.82847          1              0.02884
  13       -4.82182       13.23377          1              0.56103
  14       -8.61612        9.63242          1              0.07925
  15        2.49469       20.31884          3              2.11491
  16       -3.23548       14.34542          1              0.86744
  17      -12.27056        5.03009          1              0.51040
  18       -9.10386        7.50791          1              0.08667
  19       -7.53466        9.01543          1              0.07761
  20       -9.24826        7.19186          1              0.11524
  21       -8.42538        4.23201          1              0.48886
  22       -5.48401        6.33927          1              0.06791
  23       -6.11964        5.71964          1              0.03032
  24       -5.86998        5.95222          1              0.00391
  25       -6.28856        5.49244          1              0.06865
  26       -5.35363        6.41642          1              0.09341
  27       -5.61021        6.10326          1              0.03876
  28      -20.94744       20.94744          1              0.02943
  29      -17.10124       17.10124          0             -0.03608
  30      -15.27333       15.27333          0             -0.00537
  31      -11.32883       11.32883          0             -0.01309
  32      -10.40691       10.40691          0             -0.02586
  33      -10.47777       10.47777          0             -0.01390
  34       -9.35427        9.35427          0             -0.07206
  35       -9.81571        9.81571          0             -0.00125
  36       -9.74399        9.74399          1              0.00763
  37       -9.00647        9.00647          0             -0.03453
  38       -9.28789        9.28789          1              0.01121
  39       -8.99896        8.99896          1              0.00446
  40       -8.65725        8.65725          0             -0.00678
  41       -8.67211        8.67211          0             -0.00039
  42       -8.64982        8.64982          1              0.00514
  43       -8.30757        8.30757          0             -0.00888
  44       -8.22454        8.22454          0             -0.01246
  45       -5.91226        5.91226          0             -0.00605
  46       -5.91703        5.91703          0             -0.00315
  47       -5.89904        5.89904          1              0.00013
  48       -5.86397        5.86397          0             -0.00404
