Contour value = 0.95
2359296 = number of vibrational basis functions from initial-state totally symemtric irreducible
2359296 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -31.97799       19.22553          1              0.25615
   2      -17.39432       17.05079          0             -0.01214
   3      -28.52441        2.97927          2              1.06277
   4      -18.26202        9.78271          1              0.24074
   5       -4.98934       21.60700          1              0.73609
   6      -10.78901       11.10582          0             -0.02937
   7      -10.98591       10.17977          0             -0.00578
   8      -11.26075        9.33588          1              0.04253
   9       -9.87468        9.55612          0             -0.03951
  10       -8.97944       10.35482          1              0.03487
  11      -18.22648       -0.32609          2              1.29457
  12       -9.33653        8.45393          0             -0.01117
  13       -4.45706       12.86901          1              0.50334
  14       -8.24747        9.26377          1              0.03576
  15        2.85477       19.95876          3              2.02305
  16       -2.88031       13.99025          1              0.80057
  17      -11.92105        4.68059          1              0.45366
  18       -8.76827        7.17232          1              0.04421
  19       -7.20032        8.68108          1              0.03556
  20       -8.91613        6.85974          1              0.07185
  21       -8.16968        3.97631          1              0.42975
  22       -5.24515        6.10041          1              0.02592
  23       -5.88047        5.48046          0             -0.01032
  24       -5.63115        5.71339          0             -0.03572
  25       -6.05056        5.25444          1              0.02642
  26       -5.11585        6.17864          1              0.05025
  27       -5.37358        5.86663          0             -0.00220
  28      -20.10108       20.10108          0             -0.01249
  29      -16.41028       16.41028          0             -0.07281
  30      -14.65623       14.65623          0             -0.04453
  31      -10.87110       10.87110          0             -0.05164
  32       -9.98643        9.98643          0             -0.06340
  33      -10.05442       10.05442          0             -0.05239
  34       -8.97632        8.97632          0             -0.10594
  35       -9.41911        9.41911          0             -0.04074
  36       -9.35030        9.35030          0             -0.03256
  37       -8.64257        8.64257          0             -0.07139
  38       -8.91262        8.91262          0             -0.02926
  39       -8.63537        8.63537          0             -0.03548
  40       -8.30746        8.30746          0             -0.04583
  41       -8.32173        8.32173          0             -0.03995
  42       -8.30034        8.30034          0             -0.03485
  43       -7.97191        7.97191          0             -0.04776
  44       -7.89224        7.89224          0             -0.05106
  45       -5.67338        5.67338          0             -0.04516
  46       -5.67796        5.67796          0             -0.04249
  47       -5.66070        5.66070          0             -0.03947
  48       -5.62704        5.62704          0             -0.04331
